DIVA;PlatformText;Municipality;MunicipalityID;Longitude;Latitude
60200397;Geusaugasse;Wien;90001;16.3942899;48.2038532
60200399;Zippererstraße;Wien;90001;16.4111243;48.1794978
60200400;Heinrich-Drimmel-Platz;Wien;90001;16.3911188;48.187949
60200401;Ghelengasse;Wien;90001;16.2595066;48.1803005
60200403;Gladiolenweg;Wien;90001;16.4790549;48.2375496
60200404;Glanzing;Wien;90001;16.3215533;48.2432512
60200405;Glatzgasse;Wien;90001;16.353174;48.2333492
60200406;Glawatschweg;Wien;90001;16.2661901;48.1636759
60200407;Glockengasse;Wien;90001;16.3817404;48.2178372
60200408;Gloriettegasse;Wien;90001;16.2920616;48.1829959
60200409;Glossystraße;Wien;90001;16.2359528;48.212438
60200410;Gobergasse;Wien;90001;16.2686156;48.1793661
60200411;Goethehof;Wien;90001;16.4193798;48.2291964
60200412;Gogolgasse;Wien;90001;16.275856;48.1827922
60200413;Goldhammergasse;Wien;90001;16.322757;48.1443067
60200414;Gotthelfgasse;Wien;90001;16.4726858;48.2272754
60200415;Graben/Petersplatz;Wien;90001;16.3695682;48.2091575
60200416;Graf-Seilern-Gasse;Wien;90001;16.3082313;48.1706559
60200417;Grasbergergasse;Wien;90001;16.4006679;48.1864397
60200418;Grasgasse;Wien;90001;16.282252;48.2299564
60200419;Gredlerstraße;Wien;90001;16.3798719;48.2140064
60200420;Gregor-Mendel-Straße;Wien;90001;16.3377589;48.2338578
60200421;Gregorygasse;Wien;90001;16.3053926;48.1572044
60200422;Eßling, Schippanisiedlung;Wien;90001;16.5442995;48.2193754
60200423;Greutberggasse;Wien;90001;16.2051586;48.2278798
60200424;Griegstraße;Wien;90001;16.3753174;48.2492154
60200425;Enkplatz;Wien;90001;16.4153104;48.1743402
60200426;Grinzing;Wien;90001;16.3421516;48.25549
60200427;Am Bahnhof;Wien;90001;16.4510903;48.223948
60200428;Grinzinger Straße;Wien;90001;16.3653641;48.2547543
60200429;Donaustadtstr./Lange Allee;Wien;90001;16.4445237;48.2273772
60200430;Großer Biberhaufen;Wien;90001;16.4733775;48.2022067
60200431;Großjedlersdorf;Wien;90001;16.4085731;48.2765031
60200432;Großmarktstraße;Wien;90001;16.367008;48.1465245
60200434;Gruschaplatz;Wien;90001;16.2826383;48.1953927
60200435;Gräßlplatz;Wien;90001;16.3973262;48.1766825
60200436;Gumpendorfer Straße;Wien;90001;16.3375613;48.1907278
